Notes :,
,
,
2023-10-21 ¿ÀÀü 12:26:54,
Volts,
Ch : LED 2,Ch : LED 3
1.04E-01,8.05E-02
1.04E-01,8.05E-02
1.04E-01,8.08E-02
1.05E-01,8.09E-02
1.04E-01,8.09E-02
1.05E-01,8.10E-02
1.05E-01,8.11E-02
1.05E-01,8.10E-02
1.05E-01,8.11E-02
1.05E-01,8.10E-02
1.05E-01,8.11E-02
1.05E-01,8.10E-02
1.05E-01,8.10E-02
1.05E-01,8.13E-02
1.05E-01,8.11E-02
1.05E-01,8.10E-02
1.05E-01,8.12E-02
1.05E-01,8.12E-02
1.05E-01,8.17E-02
1.05E-01,8.15E-02
1.05E-01,8.16E-02
1.05E-01,8.19E-02
1.05E-01,8.16E-02
1.05E-01,8.17E-02
1.05E-01,8.12E-02
1.05E-01,8.13E-02
1.05E-01,8.14E-02
1.05E-01,8.13E-02
1.05E-01,8.15E-02
1.05E-01,8.13E-02
1.05E-01,8.13E-02
1.05E-01,8.14E-02
1.05E-01,8.13E-02
1.05E-01,8.16E-02
1.05E-01,8.16E-02
1.05E-01,8.16E-02
1.05E-01,8.18E-02
1.05E-01,8.16E-02
1.05E-01,8.18E-02
1.05E-01,8.17E-02
1.05E-01,8.19E-02
1.05E-01,8.20E-02
1.05E-01,8.19E-02
1.05E-01,8.21E-02
1.05E-01,8.18E-02
1.05E-01,8.22E-02
1.05E-01,8.21E-02
1.05E-01,8.21E-02
1.05E-01,8.22E-02
1.05E-01,8.21E-02
1.05E-01,8.23E-02
1.05E-01,8.23E-02
1.05E-01,8.20E-02
1.06E-01,8.24E-02
1.05E-01,8.22E-02
1.06E-01,8.22E-02
1.06E-01,8.25E-02
1.06E-01,8.23E-02
1.06E-01,8.26E-02
1.06E-01,8.23E-02
1.06E-01,8.26E-02
1.06E-01,8.24E-02
1.06E-01,8.24E-02
1.06E-01,8.25E-02
1.06E-01,8.23E-02
1.06E-01,8.25E-02
1.06E-01,8.26E-02
1.06E-01,8.25E-02
1.06E-01,8.27E-02
1.06E-01,8.27E-02
1.06E-01,8.28E-02
1.06E-01,8.28E-02
1.06E-01,8.28E-02
1.06E-01,8.28E-02
1.06E-01,8.25E-02
1.06E-01,8.26E-02
1.06E-01,8.27E-02
1.06E-01,8.26E-02
1.06E-01,8.30E-02
1.06E-01,8.28E-02
1.06E-01,8.30E-02
1.06E-01,8.30E-02
1.06E-01,8.29E-02
1.06E-01,8.31E-02
1.06E-01,8.29E-02
1.06E-01,8.31E-02
1.06E-01,8.31E-02
1.06E-01,8.32E-02
1.06E-01,8.32E-02
1.06E-01,8.29E-02
1.06E-01,8.30E-02
1.06E-01,8.29E-02
1.06E-01,8.24E-02
1.06E-01,8.21E-02
1.05E-01,8.13E-02
1.05E-01,8.10E-02
1.04E-01,8.05E-02
1.04E-01,8.00E-02
1.04E-01,7.98E-02
1.03E-01,7.96E-02
1.03E-01,7.98E-02
1.03E-01,7.98E-02
1.04E-01,7.96E-02
1.04E-01,8.00E-02
1.04E-01,8.00E-02
1.04E-01,8.03E-02
1.04E-01,8.04E-02
1.04E-01,8.01E-02
1.04E-01,8.04E-02
1.04E-01,8.04E-02
1.04E-01,8.04E-02
